Antrea Agent Feature Gates
FEATUREGATE                     STATUS       VERSION
AntreaIPAM                      Disabled     ALPHA
AntreaPolicy                    Enabled      BETA
AntreaProxy                     Enabled      GA
BGPPolicy                       Disabled     ALPHA
CleanupStaleUDPSvcConntrack     Enabled      BETA
Egress                          Enabled      BETA
EgressSeparateSubnet            Disabled     ALPHA
EgressTrafficShaping            Disabled     ALPHA
EndpointSlice                   Enabled      GA
ExternalNode                    Disabled     ALPHA
FlowExporter                    Disabled     ALPHA
IPsecCertAuth                   Disabled     ALPHA
L7FlowExporter                  Disabled     ALPHA
L7NetworkPolicy                 Disabled     ALPHA
LoadBalancerModeDSR             Disabled     ALPHA
Multicast                       Enabled      BETA
Multicluster                    Disabled     ALPHA
NetworkPolicyStats              Enabled      BETA
NodeLatencyMonitor              Disabled     ALPHA
NodeNetworkPolicy               Disabled     ALPHA
NodePortLocal                   Enabled      GA
PacketCapture                   Enabled      ALPHA
SecondaryNetwork                Disabled     ALPHA
ServiceExternalIP               Enabled      BETA
ServiceTrafficDistribution      Enabled      BETA
SupportBundleCollection         Disabled     ALPHA
TopologyAwareHints              Enabled      BETA
Traceflow                       Enabled      BETA
TrafficControl                  Disabled     ALPHA
